city,timestamp,temperature,season
New York,2010-01-01,-1.0909930663433847,winter
New York,2010-01-02,-6.956233597408046,winter
New York,2010-01-03,6.787371216359163,winter
New York,2010-01-04,-14.280133841307286,winter
New York,2010-01-05,-13.470625235481375,winter
New York,2010-01-06,-1.0284467045707442,winter
New York,2010-01-07,4.018219558640003,winter
New York,2010-01-08,1.3411276287059533,winter
New York,2010-01-09,1.2908744034131074,winter
New York,2010-01-10,0.08114023080332655,winter
New York,2010-01-11,-1.6373476277378585,winter
New York,2010-01-12,-6.285327097403542,winter
New York,2010-01-13,4.220471025324753,winter
New York,2010-01-14,3.323682323031557,winter
New York,2010-01-15,-5.0008933686331964,winter
New York,2010-01-16,4.0482816254587135,winter
New York,2010-01-17,-15.621808855004689,winter
New York,2010-01-18,-4.706036530636562,winter
New York,2010-01-19,-6.892030949353572,winter
New York,2010-01-20,-3.961546291200211,winter
New York,2010-01-21,2.1430162454109953,winter
New York,2010-01-22,5.960154216324498,winter
New York,2010-01-23,-4.8161441229391,winter
New York,2010-01-24,0.05505535362747037,winter
New York,2010-01-25,-5.416573401678374,winter
New York,2010-01-26,-9.859115954769935,winter
New York,2010-01-27,-0.653966895418101,winter
New York,2010-01-28,-0.662282669598149,winter
New York,2010-01-29,-7.1946972308268755,winter
New York,2010-01-30,-4.261248842514103,winter
New York,2010-01-31,-4.525458797675403,winter
New York,2010-02-01,-6.2374964758221605,winter
New York,2010-02-02,-0.1261369963365168,winter
New York,2010-02-03,-1.6348350923421355,winter
New York,2010-02-04,4.444067918520192,winter
New York,2010-02-05,8.986380833121597,winter
New York,2010-02-06,-5.39512792294973,winter
New York,2010-02-07,7.0991779533645225,winter
New York,2010-02-08,-3.6224397231885375,winter
New York,2010-02-09,-8.90181183650502,winter
New York,2010-02-10,-1.2863529641394302,winter
New York,2010-02-11,-5.9030059491750775,winter
New York,2010-02-12,9.724600306815903,winter
New York,2010-02-13,1.990539263093438,winter
New York,2010-02-14,-6.988377139914796,winter
New York,2010-02-15,-7.795617069573507,winter
New York,2010-02-16,-3.3030372797798386,winter
New York,2010-02-17,-2.9681768073717367,winter
New York,2010-02-18,-2.012933180177343,winter
New York,2010-02-19,4.882742525844944,winter
New York,2010-02-20,-9.80140913378538,winter
New York,2010-02-21,-1.1428839480093342,winter
New York,2010-02-22,0.6585199531468158,winter
New York,2010-02-23,3.953960570573207,winter
New York,2010-02-24,-4.2492197652985775,winter
New York,2010-02-25,-1.2183114013874032,winter
New York,2010-02-26,1.4292475973157515,winter
New York,2010-02-27,0.007006089470156383,winter
New York,2010-02-28,-5.6405406239512415,winter
New York,2010-03-01,10.783687026334627,spring
New York,2010-03-02,10.255989264151161,spring
